,userid,mostPopHashtag1,mostPopHashtag2,mostPopHashtag3,mostPopHashtag4,mostPopHashtag5,mostPopPost
188,609548724,tunnelvision,GoSpursGo,hoopchella,unbm,tmc,[]
189,35982046,DayofSilence,LGBTQ,WhoMir,WSE,MAACChampionship,['It cost $0.00 to keep it real']
190,456318344,TheGrindIsReal,Pensacola,Hawkeyes4Life,Black,MarchMadness2019,['Very proud of my @IowaHoops #TheGrindIsReal']
191,204079463,DialedIn,NBAAllStar2019,detroitautoshow,hestayfresh,HighFlyingBird,['Prayers up for Nurkic ____']
192,80480330,TeamIsEverything,takenote,ontothenextone,mondaymotivation,AutismAwareness,"['... so far, my code to get in to the practice facility worked. https://t.co/CCCFQzZ5rN']"
193,3192521511,BoilerUp,Purdue,justdoit,themasters,Family,['Couldn__ be prouder of @BoilerBall. Unreal team win...  @Ryan_Cline13 was a bad bad man tonight!!!!']
194,39676694,IdentityCrisis2019,HeroesInCrisis,MoreKlayInIngmarBergmanMoviesPlease,TheSeventhSeal,NBAPlayoffs,"[""@RealMickFoley @BrooklynNets @chicagobulls @NBA @barclayscenter I've been leaving tickets at the window for a decad_ https://t.co/OAT0bc6j28""]"
195,29341990,uncommon,NBAPlayoffs,JrNBAIreland,_rsenik,TchTch,['Whoa! Effectivement. Heuuuuu session souvenirs ce soir! Merci pour de petit __ https://t.co/FTrR55u3Yb']
196,8.91053E+17,FREE,Easter,NewProfilePic,kobe,BettheRealm,['Have a feeling the @pacers gonna win these next two games. Coach Nate got something up his sleeves.']
197,2244387744,rocfam,ripnipsey,GraciaManu,graciasmanu,raporgototheleague,['No other way to celebrate https://t.co/4kkoMqR34q']
198,133881972,ontothenextone,takenote,nurkic,ThisIsWhyWePlay,TeamisEverything,['Come on man... where is the fun in the game of basketball if we can__ show any emotions?? https://t.co/BKUBoIFWuF']
199,868358028,Rockets,GLeagueFinals,AirJordan,nbafamily,unguardable,['Any more questions about who__ the MVP? Case is closed!!  #unguardable #onemission https://t.co/Ariz86r4a0']
200,37922674,OneLastDance,WeTheNorth,Edmonton,lanahslocs,BlackTwitter,['Oh thank you DJ Khaled I have a the tools I need to be a billionaire now. https://t.co/mMyVhI45OL']
201,368148234,paobc,mvp,InsiderTheSeries,panathinaikosbc,GreenCentury,['https://t.co/zIp41406lB']
202,246106352,MostHated,ColdAsBalls,YouDontLookLikeThisInPerson,Neighborhood,CapsCanes,['NCAA mess up by not letting melo Ball play next next yr ... you gotta keep this wave going college basketball was r_ https://t.co/NfaNkLLDyv']
203,42562446,BuzzCity,justdoit,LDLCASVEL,WheelchairBasketball,Elite8,['C__st juste magnifique pour le basket en France ! La NBA est de retour dans la ville lumi√®re ! #NBAParis https://t.co/jwbvEgmgbB']
204,165953518,BuzzCity,justdoit,LDLCASVEL,WheelchairBasketball,Elite8,[]
205,241358536,FearTheDeer,LaFamilia,TeamGiannis,justdoit,gametime,['#FearTheDeer']
206,82775356,NBAAllStar,PureMagic,ForzaJuve,FinoAllaFine,TeamGiannis,['ORLANDO WE MADE IT!!!!!!']
207,231335961,NBAAllStar,PureMagic,ForzaJuve,FinoAllaFine,TeamGiannis,[]
208,54780126,TeamCole,ColeBlooded30,DaytonOH,Blessed,ABALiga,['@ABA_League that was the worst most unprofessional game/environment!! The worst!!']
209,64643728,TeamCole,ColeBlooded30,DaytonOH,Blessed,ABALiga,[]
210,119135103,TeamCole,ColeBlooded30,DaytonOH,Blessed,ABALiga,[]
211,25015718,Underground,6Man,HeAintWrong,poohDhini,justAKidFromChicago,['Glory to God!!!!!']
212,327368956,drivingschool,MarchMadness,thunderup,ThunderUp,gositdown,"['Fans can say shit about a mans family, wife, &amp; kids.. Tell a player __et down on your knees like your use to._ As m_ https://t.co/nYhkyHtBBr']"
213,262172582,GoSpursGo,CoffeeGang,WorldGotGame,UNBM,LaMarcusAldridge,['It was only right to honor you with your famous __ir punch fist pump_ and let the passion come pouring out._ https://t.co/c0KqAf2756']
214,79758113,FearTheDeer,GoSpursGo,NBAPlayoffs,NBAFamily,HowHungryAreYou,['Thank you @spurs ____ https://t.co/PLXRvzNKOp']
215,8.0847E+17,LongLiveNipsey,GoDogs,NBAAllStar,BlackHistoryMonth,SQUAD,['20+20+20=60! If you know you know... this dude is fucking incredible! RIP NIP! _øÔ__øÔ__øÔ_ #LongLiveNipsey https://t.co/SAHxiDQ2Et']
216,26132246,YoungAustinAcy,BaylorFamily,SCtop10,RIPNeighborhoodNip,LongLiveNip,"['Right! Congrats my brother, well deserved... #ItsTimeForThat _ https://t.co/RNvd4syn8k']"
217,334150573,IversonWeek,Gameover,RIP,AvengersEndgame,GameofThrones,['Coach ______ https://t.co/MZ0iXxptm4']
218,57698629,tunnelvision,GoSpursGo,hoopchella,unbm,tmc,['Must watch!! https://t.co/Iwr4L0Mpvk']
219,47218790,tunnelvision,GoSpursGo,hoopchella,unbm,tmc,[]
220,388014562,tunnelvision,GoSpursGo,hoopchella,unbm,tmc,[]
221,291497363,tunnelvision,GoSpursGo,hoopchella,unbm,tmc,[]
222,51625402,tunnelvision,GoSpursGo,hoopchella,unbm,tmc,[]
223,87874905,DayofSilence,LGBTQ,WhoMir,WSE,MAACChampionship,['It cost $0.00 to keep it real']
224,162869667,TheGrindIsReal,Pensacola,Hawkeyes4Life,Black,MarchMadness2019,['Very proud of my @IowaHoops #TheGrindIsReal']
225,529603839,DialedIn,NBAAllStar2019,detroitautoshow,hestayfresh,HighFlyingBird,['Prayers up for Nurkic ____']
226,350594293,TeamIsEverything,takenote,ontothenextone,mondaymotivation,AutismAwareness,"['... so far, my code to get in to the practice facility worked. https://t.co/CCCFQzZ5rN']"
227,296502129,BoilerUp,Purdue,justdoit,themasters,Family,['Couldn__ be prouder of @BoilerBall. Unreal team win...  @Ryan_Cline13 was a bad bad man tonight!!!!']
228,473765883,IdentityCrisis2019,HeroesInCrisis,MoreKlayInIngmarBergmanMoviesPlease,TheSeventhSeal,NBAPlayoffs,"[""@RealMickFoley @BrooklynNets @chicagobulls @NBA @barclayscenter I've been leaving tickets at the window for a decad_ https://t.co/OAT0bc6j28""]"
